Hybrid	Gen	sample	S30_equal	S37_equal	R_equal	mu	R_plot
2A	5000	E9	40251.571	19993.17625	0.496705488836697	0.844095202822296	0.496705488836697
2A	5000	G4	39704.83375	26393.49925	0.664742721659173	0.844095202822296	0.664742721659173
2A	9000	A6	36969.74	20169.13825	0.545558022588203	0.844095202822296	0.545558022588203
2A	9000	C1	35802.606	37757.294	1.05459624922275	0.844095202822296	1.05459624922275
2A	9000	D5	39916.02525	36868.2355	0.923644958862731	0.844095202822296	0.923644958862731
2A	9000	E1	0	0	NA	0.844095202822296	NA
2A	9000	E12	34113.674	16931.27975	0.496319445099933	0.844095202822296	0.496319445099933
2A	9000	E9	39453.25525	22207.9185	0.56289191751801	0.844095202822296	0.56289191751801
2A	9000	G4	40511.76075	20527.9815	0.506716595871484	0.844095202822296	0.506716595871484
2B	0	A2	35581.406	9826.50925	0.276169785140025	0.267770170492796	0.267770170492796
2B	0	C6	37094.75	9345.095	0.251925002864287	0.267770170492796	0.267770170492796
2B	0	D2	35053.48475	8757.12525	0.249821816930769	0.267770170492796	0.267770170492796
2B	0	E5	36229.381	9728.08225	0.268513620202343	0.267770170492796	0.267770170492796
2B	0	G9	31192.26675	9041.35025	0.289858711534647	0.267770170492796	0.267770170492796
2B	0	H3	37764.96675	10209.08225	0.270332086284705	0.267770170492796	0.267770170492796
2B	5000	A2	40051.1695	9313.62	0.23254302224558	0.267770170492796	0.23254302224558
2B	5000	C6	42874.448	36472.27325	0.850676217452409	0.267770170492796	0.850676217452409
2B	5000	D2	34690.25225	5127.47875	0.147807479549244	0.267770170492796	0.147807479549244
2B	5000	E5	36124.063	9221.095	0.255261845822825	0.267770170492796	0.255261845822825
2B	5000	G9	37159.75775	9068.43075	0.244039016912052	0.267770170492796	0.244039016912052
2B	5000	H3	37256.8205	9159.754	0.245854420132282	0.267770170492796	0.245854420132282
2B	9000	A2	40143.73225	8762.16825	0.218269895669703	0.267770170492796	0.218269895669703
2B	9000	C6	39507.89125	37626.31275	0.952374615792737	0.267770170492796	0.952374615792737
2B	9000	D2	36928.927	8119.43075	0.219866413936154	0.267770170492796	0.219866413936154
2B	9000	E5	36874.934	8413.163	0.228153981238312	0.267770170492796	0.228153981238312
2B	9000	G9	39898.6665	10134.1305	0.253996721920518	0.267770170492796	0.253996721920518
2B	9000	H3	42984.298	10016.78425	0.233033566117562	0.267770170492796	0.233033566117562
2C	0	A3	39050.7175	10272.8575	0.263064500671466	0.255300002012273	0.255300002012273
2C	0	A9	39495.089	9891.211	0.250441542238327	0.255300002012273	0.255300002012273
2C	0	B10	38212.34425	9897.75925	0.259019943535655	0.255300002012273	0.255300002012273
2C	0	C7	37171.1065	10377.43075	0.279180033287414	0.255300002012273	0.255300002012273
2C	0	E4	42285.72525	8203.38775	0.193998984326277	0.255300002012273	0.255300002012273
2C	0	F9	36881.935	10433.893	0.282899826161507	0.255300002012273	0.255300002012273
2C	0	G5	37954.32125	9811.00925	0.258495183865263	0.255300002012273	0.255300002012273
2C	5000	A3	45421.49375	9118.79675	0.200759508266942	0.255300002012273	0.200759508266942
2C	5000	A9	37480.225	9195.413	0.245340389498729	0.255300002012273	0.245340389498729
2C	5000	B10	35561.93925	9368.79675	0.263450108390813	0.255300002012273	0.263450108390813
2C	5000	C7	37803.71025	9920.52175	0.262421907384078	0.255300002012273	0.262421907384078
2C	5000	E4	37346.7575	7985.73625	0.213826762604491	0.255300002012273	0.213826762604491
2C	5000	F9	35153.61325	8093.095	0.230220857880093	0.255300002012273	0.230220857880093
2C	5000	G5	39483.1725	9433.82725	0.238932858042246	0.255300002012273	0.238932858042246
2C	9000	A3	48282.72825	9326.2235	0.193158585648068	0.255300002012273	0.193158585648068
